# CONCEPTICON
# Created by: QLC Research Group (M. Cysouw, V. Kirchhoff, S. Nicolai, N.  Müller, J.-M. List [rearrange and modify this order, I put me as last person, since I didn't do quite much, not to indicate that I'm some kind of a leader in this project])
# Created on: 2014-05-06 13:04
# Contact: <whatemailtousehere?>
OMEGA_WIKI	GLOSS	WOLD	POS
4181	world	1.1	Noun
2063	land	1.21	Noun
5481	soil	1.212	Noun
1009	dust	1.213	Noun
2428	mud	1.214	Noun
3305	sand	1.215	Noun
2421	mountain	1.22	Noun
1772	hill	1.22	Noun
4261	cliff	1.222	Noun
1875	precipice	1.222	Noun
2813	plain	1.23	Noun
3938	valley	1.24	Noun
2031	island	1.25	Noun
1364993	mainland	1.26	Noun
1201459	shore	1.27	Noun
513	cave	1.28	Noun
4118	water	1.31	Noun
6154	sea	1.32	Noun
1505685	calm	1.322	Adjective
1505691	rough	1.323	Adjective
7153	foam	1.324	Noun
2608	ocean	1.329	Noun
2061	lake	1.33	Noun
320	bay	1.34	Noun
2058	lagoon	1.341	Noun
3138	reef	1.342	Noun
684108	cape	1.343	Noun
421112	wave	1.35	Noun
3777	tide	1.352	Noun
440739	low tide	1.353	Noun
1769	high tide	1.354	Noun
3253	river	1.36	Noun
411075	stream	1.36	Noun
934369	whirlpool	1.362	Noun
3596	spring	1.37	Noun
4138	well	1.37	Noun
5069	swamp	1.38	Noun
4079	waterfall	1.39	Noun
4168	woods	1.41	Noun
1533	forest	1.41	Noun
1505696	savanna	1.411	Noun
741520	wood	1.43	Noun
3633	stone	1.44	Noun
3266	rock	1.44	Noun
1019	earthquake	1.45	Noun
7039	sky	1.51	Noun
5850	sun	1.52	Noun
5729	moon	1.53	Noun
6041	star	1.54	Noun
6811	lightning	1.55	Noun
509787	thunder	1.56	Noun
963421	bolt of lightning	1.57	Noun
3635	storm	1.58	Noun
7041	rainbow	1.59	Noun
2158	light	1.61	Noun
1025381	darkness	1.62	Noun
5966	shade	1.63	Noun
921645	dew	1.64	Noun
106	air	1.71	Noun
4160	wind	1.72	Noun
623	cloud	1.73	Noun
1502	fog	1.74	Noun
3100	rain	1.75	Noun
3455	snow	1.76	Noun
1837	ice	1.77	Noun
1505700	arctic lights	1.771	Noun
6042	freeze	1.775	Verb
4129	weather	1.78	Noun
1446	fire	1.81	Noun
376152	flame	1.82	Noun
3451	smoke	1.83	Noun
539987	steam	1.831	Noun
264	ash	1.84	Noun
1124797	embers	1.841	Noun
844863	burn	1.851	Verb
6039	burn	1.852	Verb
1299599	light	1.86	Verb
1255943	extinguish	1.861	Verb
499237	match	1.87	Noun
1024755	firewood	1.88	Noun
535	charcoal	1.89	Noun
321	beach	1.99901	Noun
625	coal	1.99903	Noun
688481	constellation	1.99904	Noun
535205	jade	1.99905	Noun
1505710	loam	1.99906	Noun
700006	river mouth	1.99908	Noun
6360	spring	1.9991	Noun
1510369	blaze	1.99911	Verb
512864	melt	1.99912	Verb
333730	person	2.1	Noun
6397	man	2.21	Noun
4165	woman	2.22	Noun
6396	male	2.23	Adjective
6393	female	2.24	Adjective
5905	boy	2.25	Noun
715850	young man	2.251	Noun
6752	girl	2.26	Noun
715850	young woman	2.261	Noun
568	child	2.27	Noun
5642	baby	2.28	Noun
5432	husband	2.31	Noun
5429	wife	2.32	Noun
1411401	marry	2.33	Verb
5532	wedding	2.34	Noun
499844	divorce	2.341	Noun
5464	father	2.35	Noun
5463	mother	2.36	Noun
157257	parents	2.37	Noun
5432	married man	2.38	Noun
5429	married woman	2.39	Noun
6634	son	2.41	Noun
5881	daughter	2.42	Noun
7413	child	2.43	Noun
5541	brother	2.44	Noun
7130	older brother	2.444	Noun
7131	younger brother	2.445	Noun
5544	sister	2.45	Noun
7129	older sister	2.454	Noun
7132	younger sister	2.455	Noun
6732	sibling	2.456	Noun
431713	twins	2.458	Noun
5953	grandfather	2.46	Noun
6247	grandmother	2.47	Noun
385678	old woman	2.471	Noun
1510376	grandparents	2.4711	Noun
6627	grandson	2.48	Noun
6628	granddaughter	2.49	Noun
6624	grandchild	2.5	Noun
5806	uncle	2.51	Noun
936024	mother's brother	2.511	Noun
936030	father's brother	2.512	Noun
5591	aunt	2.52	Noun
1372595	mother's sister	2.521	Noun
1372531	father's sister	2.522	Noun
454945	nephew	2.53	Noun
