ID	Gloss	abvd	alpher	asjp	dolgopolsky	ids	ielex	jachontov	jachontov100	jachontov65	leipzig	matisoff	starostin	swadesh100	swadesh200
1	eye	eye <45>	eye <24>	eye <33>	eye <7>	eye <4.21>	eye <74>	eye <25>	-	-	-	eye <6>	eye <25>	eye <25>	eye <40>
2	i	I <182>	I <45>	I <22>	first person marker <1>	I <2.91>	I <1>	I <42>	-	-	-	I <42>	I <42>	I <42>	I <78>
3	tooth	tooth <31>	tooth <88>	tooth <20>	tooth <9>	molartooth <4.272>	tooth (rather not molar) <77>	tooth <89>	-	-	-	tooth <24>	tooth <89>	tooth <89>	tooth (front rather than molar) <173>
4	two	Two <198>	two <90>	two <28>	two <2>	two <13.2>	two <23>	two <91>	-	-	-	two <120>	two <91>	two <91>	two <176>
5	water	water <122>	water <93>	water <32>	water <14>	water <1.31>	water <150>	water <94>	-	-	-	water <92>	water <94>	water <94>	water <181>
6	tongue	tongue <32>	tongue <87>	tongue <16>	tongue <5>	tongue <4.26>	tongue <78>	tongue <88>	-	-	-	tongue <23>	tongue <88>	tongue <88>	tongue <172>
7	ear 1	ear <43>	ear <18>	ear <29>	-	ear <4.22>	ear <73>	ear <21>	-	-	-	ear/hear <4>	ear <21>	ear <21>	ear <36>
8	thou	thou <183>	you (sg.) <100>	-	second person marker <3>	you (singular) <2.92>	thou <2>	thou <87>	-	-	-	thou <41>	thou <87>	thou <87>	thou <168>
9	blood	blood <23>	blood <7>	blood <1>	-	blood <4.15>	blood <64>	blood <9>	-	-	-	blood <2>	blood <9>	blood <9>	blood <16>
10	nose	nose <27>	nose <59>	nose <19>	-	nose <4.23>	nose <75>	nose <61>	-	-	-	nose <19>	nose <61>	nose <61>	nose <106>
11	bone	bone <15>	bone <8>	bone <5>	-	bone <4.16>	bone <65>	bone <10>	-	-	-	bone <3>	bone <10>	bone <10>	bone <18>
12	hand	hand <1>	hand <38>	hand <10>	-	hand <4.33>	hand <83>	hand <37>	-	-	-	hand/arm <12>	hand <37>	hand <37>	hand <66>
