ID	Gloss	abvd	alpher	asjp	dolgo	ids	ielex	jach100	jach65	jachontov	leijaka	matisoff	starostin	swadesh100	swadesh100b	swadesh200
1	eye	eye <45>	eye <24>	eye <33>	eye <7>	eye <4.21>	eye <74>	eye <20>	-	eye <25>	eye <83>	eye <6>	eye <25>	eye <25>	-	eye <40>
2	tooth	tooth <31>	tooth <88>	tooth <20>	tooth <9>	molartooth <4.272>	tooth (rather not molar) <77>	tooth <88>	-	tooth <89>	tooth <30>	tooth <24>	tooth <89>	tooth <89>	-	tooth (front rather than molar) <173>
3	water	water <122>	water <93>	water <32>	water <14>	water <1.31>	water <150>	water <92>	-	water <94>	water <4>	water <92>	water <94>	water <94>	-	water <181>
4	tongue	tongue <32>	tongue <87>	tongue <16>	tongue <5>	tongue <4.26>	tongue <78>	tongue <87>	-	tongue <88>	tongue <6>	tongue <23>	tongue <88>	tongue <88>	-	tongue <172>
5	i	I <182>	I <45>	I <22>	first person marker <1>	I <2.91>	I <1>	I <38>	-	I <42>	1SG pronoun <14>	I <42>	I <42>	I <42>	-	I <78>
6	blood	blood <23>	blood <7>	blood <1>	-	blood <4.15>	blood <64>	blood <6>	-	blood <9>	blood <7>	blood <2>	blood <9>	blood <9>	-	blood <16>
7	hand	hand <1>	hand <38>	hand <10>	-	hand <4.33>	hand <83>	hand <32>	-	hand <37>	arm/hand <19>	hand/arm <12>	hand <37>	hand <37>	-	hand <66>
8	two	Two <198>	two <90>	two <28>	two <2>	two <13.2>	two <23>	two <90>	-	two <91>	-	two <120>	two <91>	two <91>	-	two <176>
9	name	name <63>	name <56>	name (noun) <7>	name <6>	-	name <207>	name <52>	-	name <57>	name <15>	name <46>	name <57>	name <57>	-	name <100>
10	star	star <130>	star <80>	star <4>	-	star <1.54>	star <149>	star <78>	star <56>	-	star <97>	star <87>	star <80>	star <80>	-	star <152>
11	bone	bone <15>	bone <8>	bone <5>	-	bone <4.16>	bone <65>	bone <7>	-	bone <10>	bone <8>	bone <3>	bone <10>	bone <10>	-	bone <18>
12	thou	thou <183>	you (sg.) <100>	-	second person marker <3>	you (singular) <2.92>	thou <2>	thou <86>	-	thou <87>	2SG pronoun <9>	thou <41>	thou <87>	thou <87>	-	thou <168>
13	skin	skin <12>	skin <69>	skin <39>	-	flay, skin <9.29>	skin (of a person) <62>	skin <72>	skin <50>	-	skin/hide <68>	skin/bark <20>	skin <75>	skin <75>	-	skin (person's) <137>
14	ear 1	ear <43>	ear <18>	ear <29>	-	ear <4.22>	ear <73>	ear <16>	-	ear <21>	ear <22>	ear/hear <4>	ear <21>	ear <21>	-	ear <36>
15	liver	liver <17>	liver <49>	liver <34>	-	liver <4.45>	liver <91>	liver <43>	liver <28>	-	liver <66>	liver <16>	liver <48>	liver <48>	-	liver <91>
16	fish	fish <111>	fish <132>	fish (noun) <2>	-	fish <3.65>	fish <45>	fish <24>	-	fish <29>	fish <40>	fish <55>	fish <29>	fish <29>	-	fish <50>
17	dog	dog <96>	dog <16>	dog <21>	-	dog <3.61>	dog <47>	dog <13>	-	dog <18>	dog <86>	dog <54>	dog <18>	dog <18>	-	dog <31>
18	see (V)	to see <46>	to see <66>	see <35>	-	see <15.51>	to see <101>	see <69>	see <47>	-	to see <89>	see <149>	see <72>	see <72>	-	see <130>
19	nose	nose <27>	nose <59>	nose <19>	-	nose <4.23>	nose <75>	nose <57>	-	nose <61>	nose <2>	nose <19>	nose <61>	nose <61>	-	nose <106>
20	louse	louse <108>	-	louse <38>	louse <12>	louse <3.811>	louse <48>	louse <45>	-	louse <50>	louse <16>	louse <56>	louse <50>	louse <50>	-	louse <93>
21	leaf	leaf <114>	leaf <47>	leaf <30>	-	leaf <8.56>	leaf <56>	leaf <42>	leaf <27>	-	leaf <64>	leaf <77>	leaf <46>	leaf <46>	-	leaf <86>
22	hear (V)	to hear <44>	hear <41>	hear <14>	-	hear <15.41>	to hear <102>	hear <34>	hear <22>	-	to hear <62>	ear/hear <4>	hear <39>	hear <39>	-	to hear <69>
23	fire	fire <143>	fire <29>	fire <37>	-	fire <1.81>	fire <167>	fire <23>	-	fire <28>	fire <1>	fire <73>	fire <28>	fire <28>	-	fire <49>
24	far	far <180>	far <26>	-	-	far (adv) <12.44>	far <198>	far <21>	far <14>	-	far <24>	far <112>	far <101>	-	far <56>	far <42>
25	heavy	heavy <142>	heavy <140>	-	-	heavy <15.81>	heavy <31>	heavy <36>	heavy <24>	-	heavy <72>	heavy <164>	heavy <102>	-	heavy <61>	heavy <71>
26	meat	meat/flesh <103>	meat, animal <53>	-	-	meat <5.61>	meat (as in flesh) <63>	meat <48>	meat <32>	-	flesh/meat <18>	meat/animal <52>	meat <53>	meat (flesh) <53>	-	meat (flesh) <96>
27	egg	egg <98>	egg <21>	-	-	egg <5.97>	egg <67>	egg <19>	-	egg <24>	egg <52>	egg <5>	egg <24>	egg <24>	-	egg <39>
28	wind	wind <136>	wind <98>	-	-	wind <1.72>	wind (as in breeze) <163>	wind <96>	-	wind <108>	wind <48>	wind <93>	wind <108>	-	wind <17>	wind <191>
29	person	person/human being <53>	person, Aborigine <63>	person <31>	-	person, human being <2.1>	man (human being) <38>	person <60>	person <39>	-	-	person/human being <40>	person <64>	person <64>	-	person <111>
30	tail	tail <105>	tail <83>	-	-	tail <4.18>	tail <69>	tail <82>	-	tail <84>	tail <85>	tail <22>	tail <84>	tail <84>	-	tail <160>
31	one	One <197>	one <62>	one <23>	-	-	one <22>	one <59>	-	one <63>	one <33>	one <116>	one <63>	one <63>	-	one <109>
32	mouth	mouth <30>	mouth <55>	-	-	mouth <4.24>	mouth <76>	mouth <51>	mouth <34>	-	mouth <5>	mouth <17>	mouth <56>	mouth <56>	-	mouth <99>
33	night	night <167>	-	night (dark time) <15>	-	night <14.42>	night <177>	night <56>	night <37>	-	night <21>	night <100>	night <60>	night <60>	-	night <105>
34	foot	leg/foot <4>	foot <32>	-	-	foot <4.37>	foot <80>	foot <26>	foot <17>	-	leg/foot <37>	foot <8>	foot <31>	foot <31>	-	foot <57>
35	long	long <155>	long <50>	-	-	long <12.57>	long <28>	long <44>	long <29>	-	long <78>	long/tall <158>	long <49>	long <49>	-	long <92>
36	new	new <163>	-	new <11>	-	new <14.13>	new <183>	new <55>	-	new <59>	new <54>	new <172>	new <59>	new <59>	-	new <104>
37	black	black <147>	black <6>	-	-	black <15.65>	black <176>	black <5>	black <5>	-	black <43>	black <170>	black <8>	black <8>	-	black <15>
38	smoke	smoke <145>	smoke <73>	-	-	smoke (noun) <1.83>	smoke <166>	smoke <75>	smoke <53>	-	smoke <49>	smoke <86>	smoke <78>	smoke <78>	-	smoke (of fire) <142>
39	stone	stone <120>	stone <81>	stone <8>	-	-	stone <156>	stone <79>	-	stone <81>	stone/rock <27>	stone <89>	stone <81>	stone <81>	-	stone <154>
40	eat (V)	to eat <37>	to eat <20>	-	-	eat <5.11>	to eat <93>	eat <18>	eat <13>	-	to eat <75>	eat <175>	eat <23>	eat <23>	-	to eat <38>
41	ashes	ashes <146>	ashes <2>	-	-	ashes <1.84>	ashes <168>	ashes <1>	ashes <1>	-	ash <84>	ashes <70>	ashes <2>	ashes <2>	-	ashes <4>
42	breast	breast <18>	breast <9>	breast (woman’s) <9>	-	breast (of woman) <4.41>	breast <89>	breast <8>	breast <6>	-	breast <12>	vagina or breast/milk <30>	breast <11>	breast <11>	-	-
43	sun	-	sun <82>	sun <12>	-	sun <1.52>	sun <147>	sun <80>	-	sun <82>	-	sun(day <90>	sun <82>	sun <82>	-	sun <157>
44	root	root <115>	-	-	-	root <8.54>	root <57>	root <64>	root <43>	-	root <10>	root <83>	root <68>	root <68>	-	root <121>
45	red	red <149>	-	-	-	red <15.66>	red <172>	red <62>	red <41>	-	red <65>	red <163>	red <66>	red <66>	-	red <116>
46	head	head <24>	head <39>	-	-	head <4.2>	head <72>	head <33>	head <21>	-	-	head <13>	head <38>	head <38>	-	head <68>
47	bird	bird <97>	-	-	-	bird <3.581>	bird <46>	bird <4>	bird <4>	-	bird <93>	bird <53>	bird <6>	bird <6>	-	bird <13>
48	salt	salt <125>	-	-	-	salt <5.81>	salt <155>	salt <66>	-	salt <104>	salt <94>	salt <84>	salt <104>	-	salt <47>	salt <125>
49	what	what? <188>	what? <95>	-	who/what <4>	-	what <12>	what <93>	-	what <96>	what? <50>	-	what <96>	what <96>	-	what? <184>
50	give (V)	-	to give <35>	-	-	give back <11.22>	to give <128>	give <28>	-	give <33>	to give <53>	give <177>	give <33>	give <33>	-	to give <60>
51	sit (V)	to sit <51>	to sit <68>	-	-	sit <12.13>	to sit <124>	sit <71>	sit <49>	-	-	sit <136>	sit <74>	sit <74>	-	sit <136>
52	sand	sand <121>	sand <138>	-	-	sand <1.215>	sand <157>	sand <67>	sand <45>	-	sand <60>	-	sand <70>	sand <70>	-	sand <126>
53	die (V)	to die, be dead <75>	to die <104>	die <17>	-	-	to die <109>	die <12>	-	die <17>	-	die <132>	die <17>	die <17>	-	to die <28>
54	big	big <153>	big <4>	-	-	large, big <12.55>	big <27>	big <3>	big <3>	-	big <32>	-	big <5>	big <5>	-	big <12>
55	year	year <169>	-	-	-	year <14.73>	year <179>	year <99>	year <64>	year <110>	-	year <114>	year <110>	-	year <100>	year <199>
56	good	good <164>	good <110>	-	-	good <16.71>	good <185>	good <29>	good <18>	-	good <57>	-	good <34>	good <34>	-	good <61>
57	cloud	cloud <131>	cloud <136>	-	-	cloud <1.73>	cloud <160>	cloud <9>	cloud <7>	-	-	cloud <71>	cloud <14>	cloud <14>	-	cloud <22>
58	come (V)	to come <7>	-	come <13>	-	come <10.48>	to come <122>	come <11>	come <9>	-	to come <11>	-	come <16>	come <16>	-	to come <24>
59	neck	neck <25>	-	-	-	neck <4.28>	neck <87>	neck <54>	neck <36>	-	neck <23>	neck <18>	neck <58>	neck <58>	-	neck <103>
60	snake	snake <106>	snake <74>	-	-	snake <3.85>	snake <49>	snake <76>	snake <54>	-	-	snake <57>	snake <106>	-	snake <24>	snake <144>
61	know (V)	to know, be knowledgeable <20>	-	-	-	know <17.17>	to know (a fact) <103>	know <41>	-	know <45>	to know <58>	know <145>	know <45>	know <45>	-	to know (facts) <83>
62	near	near <179>	near <116>	-	-	near (adv) <12.43>	near <197>	near <53>	near <35>	-	-	near <113>	near <103>	-	near <57>	near <102>
63	heart	-	heart <42>	-	heart <8>	heart <4.44>	heart <90>	heart <35>	heart <23>	-	-	heart <14>	heart <40>	heart <40>	-	heart <70>
64	who	who? <189>	who? <97>	-	who/what <4>	-	who <11>	who <95>	-	who <98>	who? <34>	-	who <98>	who <98>	-	who? <188>
65	road	road/path <6>	-	-	-	road <10.71>	road <170>	road <63>	road <42>	-	-	road <82>	road <67>	road <67>	-	road (or trail) <120>
66	not	no, not <195>	-	-	verbal negation <10>	-	not <16>	not <58>	not <38>	-	not <56>	-	not <62>	not <62>	-	not <107>
67	dry	dry <140>	dry (N, Adj) <143>	-	-	dry <15.84>	dry (adjective) <195>	dry <15>	dry <11>	-	-	-	dry <20>	dry <20>	-	dry (substance) <33>
68	burn (V)	to burn <144>	to burn (intr.) <10>	-	-	burn (vb trans) <1.851>	to burn (intransitive) <169>	-	-	-	to burn (intr.) <55>	drive/hunt <200>	burn tr. <12>	burn tr. <12>	-	to burn (intrans) <20>
69	cold	cold <139>	-	-	-	cold <15.86>	cold (as in weather) <181>	cold <10>	cold <8>	-	-	cold <160>	cold <15>	cold <15>	-	cold (of weather) <23>
70	earth	earth/soil <119>	-	-	-	earth, land <1.21>	earth (as in soil) <159>	earth <17>	earth <12>	-	-	earth <72>	earth <22>	earth <22>	-	earth (soil) <37>
71	moon	moon <129>	moon <54>	-	-	moon <1.53>	moon <148>	moon <49>	-	moon <54>	-	moon <78>	moon <54>	moon <54>	-	-
72	small	small <152>	small <71>	-	-	-	small <32>	small <74>	small <52>	-	small <95>	-	small <77>	small <77>	-	small <140>
73	this	this <177>	this <85>	-	-	-	this <7>	this <85>	-	this <86>	this <39>	-	this <86>	this <86>	-	this <167>
74	white	white <148>	-	-	-	white <15.64>	white <175>	white <94>	white <61>	-	-	white <169>	white <97>	white <97>	-	white <187>
75	horn	-	-	horn (animal part) <18>	-	horn, trumpet <18.73>	horn <68>	horn <37>	-	horn <41>	horn <38>	horn <15>	horn <41>	horn <41>	-	-
76	tree	-	tree <89>	tree <24>	-	tree (cf 08.600) <1.42>	tree <51>	tree <89>	-	-	-	tree/wood <91>	tree <90>	tree <90>	-	tree <174>
77	short	short <154>	short <67>	-	-	short <12.59>	short <33>	short <70>	short <48>	-	-	-	short <105>	-	short <60>	short <134>
78	thin	thin <156>	-	-	-	thin (in dimension) <12.65>	thin <35>	thin <84>	thin <59>	-	-	thin <151>	thin <107>	-	thin <59>	thin <165>
79	woman	woman/female <55>	woman <99>	-	-	woman <2.22>	woman <36>	woman <97>	woman <62>	-	-	-	woman <99>	woman <99>	-	woman <195>
80	knee	-	knee <46>	knee <26>	-	knee <4.36>	knee <82>	knee <40>	knee <26>	-	knee <59>	-	knee <44>	knee <44>	-	-
81	belly	belly <14>	belly <3>	-	-	-	belly <85>	belly <2>	belly <2>	-	-	belly(exterior) <1>	belly <4>	belly <4>	-	belly <10>
82	hair	hair <26>	-	-	-	hair (head) <4.14>	hair <71>	hair <31>	hair <20>	-	hair <31>	-	hair <36>	hair <36>	-	hair <65>
83	many	-	many <52>	-	-	much, many <13.15>	many <18>	many <47>	many <31>	-	-	(be) many (v.) <127>	many <52>	many <52>	-	many <95>
84	kill (V)	to kill <74>	-	-	-	kill <4.76>	to kill <110>	kill <39>	kill <25>	-	-	kill <192>	kill <43>	kill <43>	-	to kill <82>
85	full	-	-	full <6>	-	full <13.21>	full <182>	full <27>	-	full <32>	-	full <157>	full <32>	full <32>	-	-
86	fly (V)	to fly <101>	-	-	-	-	to fly <120>	fly v. <25>	fly v. <16>	-	-	fly <140>	fly v. <30>	fly <30>	-	to fly <55>
87	mountain	-	-	mountain <3>	-	-	mountain <171>	mountain <50>	mountain <33>	-	-	mountain <79>	mountain <55>	mountain <55>	-	mountain <98>
88	swim (V)	to swim <9>	-	-	-	swim <10.35>	to swim <119>	swim <81>	swim <57>	-	-	-	swim <83>	swim <83>	-	to swim <159>
89	rain	rain <133>	rain <145>	-	-	rain (noun) <1.75>	-	rain <61>	rain <40>	-	rain <13>	rain <80>	-	-	rain <21>	-
90	man	man/male <54>	-	-	-	man (vs. woman) <2.21>	man (adult male) <37>	man <46>	man <30>	-	-	-	man <51>	man <51>	-	man (male human) <94>
91	say (V)	to say <64>	-	-	-	say <18.22>	to say <140>	-	say <46>	-	to say <29>	-	say <71>	say <71>	-	say <127>
92	yellow	yellow <150>	-	-	-	yellow <15.69>	yellow <174>	yellow <100>	yellow <65>	-	-	-	yellow <100>	yellow <100>	-	yellow <200>
93	worm	worm (earthworm) <107>	-	-	-	worm <3.84>	worm <50>	worm <98>	worm <63>	-	-	-	worm <109>	-	worm <25>	worm <197>
94	green	green <151>	-	-	-	green <15.68>	green <173>	green <30>	green <19>	-	-	-	green <35>	green <35>	-	green <63>
95	stand (V)	to stand <52>	to be standing <79>	-	-	-	to stand <125>	-	-	-	to stand <45>	stand <135>	stand <79>	stand <79>	-	to stand <151>
96	grass	grass <118>	grass <134>	-	-	grass <8.51>	grass <60>	-	-	-	-	grass <76>	-	-	grass <38>	grass <62>
97	child	child <56>	-	-	-	child <2.27>	child (a youth) <39>	-	-	-	child (kin term) <51>	child/son <43>	-	-	child <51>	child (young person rather than as relationship term) <21>
98	thick	thick <157>	-	-	-	thick (in dimension) <12.63>	thick <30>	-	-	-	thick <77>	thick <171>	-	-	thick <58>	thick <164>
99	feather	feather <99>	wing feather <129>	-	-	feather <4.393>	feather (rather not down) <70>	-	-	-	-	-	feather <27>	feather <27>	-	feather (larger feathers rather than down) <46>
100	three	Three <199>	three <115>	-	-	three <13.3>	three <24>	-	-	-	-	three <121>	-	-	three <10>	three <169>
101	that	that <178>	-	-	-	-	that <8>	that <83>	that <58>	-	-	-	that <85>	that <85>	-	that <161>
102	fall (V)	to fall <95>	to fall <25>	-	-	fall <10.23>	to fall (as in drop) <127>	-	-	-	to fall <82>	-	-	-	fall <83>	to fall (drop rather than topple) <41>
103	drink (V)	to drink <40>	-	drink (verb) <25>	-	-	to drink <92>	-	-	-	to drink <42>	-	drink <19>	drink <19>	-	drink <32>
104	walk (V)	to walk <5>	-	-	-	-	to walk <121>	walk (go) <91>	walk (go) <60>	-	-	-	walk(go) <92>	walk <92>	-	to walk <178>
105	bite (V)	to bite <41>	-	-	-	-	to bite <94>	-	-	-	to bite <46>	bite <181>	bite <7>	bite <7>	-	to bite <14>
106	round	-	-	-	-	round <12.81>	round <190>	round <65>	round <44>	-	-	round <166>	round <69>	round <69>	-	-
107	warm	warm <138>	-	-	-	warm <15.851>	warm (as in weather) <180>	-	-	-	-	warm <165>	warm <93>	warm (hot) <93>	-	warm (of weather) <179>
108	wing	wing <100>	-	-	-	wing <4.392>	wing <84>	-	-	-	wing <17>	wing <25>	-	-	wing <29>	wing <192>
109	human being	person/human being <35>	-	-	-	person, human being <2.1>	man (human being) <38>	-	-	-	-	person/human being <40>	person <64>	person <64>	-	person <111>
110	old	old <162>	-	-	-	old <14.15>	old <184>	-	-	-	old <74>	old <152>	-	-	old <72>	old <108>
111	sky	sky <128>	sky <70>	-	-	sky <1.51>	sky <162>	-	-	-	-	sky <85>	-	-	sky <14>	sky <138>
112	we	we <185>	-	we <36>	-	we (exclusive) <2.942>	we <4>	-	-	-	-	-	we <95>	we <95>	-	we <182>
113	bark	-	-	-	-	bark <8.75>	bark (of tree) <58>	-	-	-	-	skin/bark <20>	bark <3>	bark <3>	-	bark <8>
114	throw (V)	to throw <94>	to throw <107>	-	-	throw <10.25>	to throw <136>	-	-	-	-	-	-	-	throw <76>	to throw <170>
115	hit (V)	to hit <72>	to hit (with hand) <43>	-	-	-	to hit <113>	-	-	-	to hit/beat <36>	-	-	-	hit <77>	to hit <73>
116	day	day <168>	-	-	-	day <14.41>	day (daytime) <178>	-	-	-	-	sun(day <90>	-	-	day <15>	day (opposite of night rather than time measure) <27>
117	tie (V)	-	-	-	-	tie, bind <9.16>	to tie <137>	-	-	-	to tie <88>	tie <178>	-	-	tie <81>	to tie <171>
118	rotten	rotten <112>	rotten <65>	-	-	rotten <5.125>	rotten (as, a log) <187>	-	-	-	-	-	-	-	rotten <66>	rotten (especially log) <123>
119	bad	bad, evil <165>	bad <111>	-	-	bad <16.72>	bad <186>	-	-	-	-	-	-	-	bad <65>	bad (deleterious or unsuitable) <7>
120	flower	flower <116>	-	-	-	flower <8.57>	flower <59>	-	-	-	-	flower <74>	-	-	flower <37>	flower <54>
121	suck (V)	to suck <42>	-	-	-	suck <5.16>	to suck <95>	-	-	-	to suck <69>	-	-	-	suck <89>	to suck <156>
122	back	back <13>	-	-	-	back <4.19>	back <88>	-	-	-	back <47>	-	-	-	back <26>	back (person's) <6>
123	he	he/she <184>	he <118>	-	-	-	he <3>	-	-	-	3SG pronoun <35>	-	-	-	he <2>	he <67>
124	you	you <186>	-	you <40>	-	you (plural) <2.95>	you <5>	-	-	-	-	-	-	-	ye <1>	ye <198>
125	five	Five <201>	-	-	-	five <13.5>	five <26>	-	-	-	-	five <123>	-	-	five <12>	five <51>
126	laugh (V)	to laugh <33>	to laugh <109>	-	-	-	to laugh <100>	-	-	-	to laugh <61>	laugh <131>	-	-	-	to laugh <85>
127	fruit	fruit <117>	-	-	-	fruit <5.71>	fruit <54>	-	-	-	-	fruit <75>	-	-	fruit <36>	berry (or fruit) <11>
