# Swadesh list used by Wiktionary and the IELex project
41	husband	3118	husband
202	in	3184	in
76	mouth	3968	mouth
54	fruit	2553	fruit
132	wash (V)	6784	to wash
42	mother	3950	mother
188	dirty	1697	dirty
112	hunt (V)	3109	to hunt (transitive)
120	fly (V)	2433	to fly
159	earth	1905	earth (as in soil)
73	ear 1	1894	ear
147	sun	6101	sun
177	night	4082	night
51	tree	6487	tree
162	sky	5593	sky
200	left side	3522	left (side)
97	vomit (V)	6741	to vomit
75	nose	4103	nose
192	dull	1870	dull (as a knife)
207	name	4019	name
94	bite (V)	536	to bite
66	fat	2231	fat (noun)
139	count (V)	1317	to count
149	star	5883	star
26	five	2368	five
10	there	6300	there
90	heart	2940	heart
31	heavy	2951	heavy
64	blood	576	blood
186	bad	334	bad
146	swell (V)	6155	to swell
107	sleep (V)	5609	to sleep
84	wing	6933	wing
135	push (V)	4790	to push
124	sit (V)	5570	to sit
156	stone	5956	stone
204	and	178	and
69	tail	6182	tail
194	wet	6849	wet
20	few	2292	few
102	hear (V)	2939	to hear
45	fish	2345	fish
83	hand	2855	hand
57	root	5152	root
110	kill (V)	3382	to kill
109	die (V)	1655	to die
170	road	5116	road
181	cold	1118	cold (as in weather)
29	wide	6900	wide
86	gut	7063	guts
72	head	2928	head
121	walk (V)	6758	to walk
166	smoke	5658	smoke
129	hold (V)	3018	to hold (in one's hand)
179	year	7019	year
89	breast	687	breast
148	moon	3938	moon
190	round	5168	round
171	mountain	3963	mountain
95	suck (V)	6074	to suck
46	bird	527	bird
1	i	3133	I
70	feather	2254	feather (rather not down)
49	snake	5667	snake
187	rotten	5165	rotten (as, a log)
141	sing (V)	5550	to sing
44	animal	185	animal
101	see (V)	5347	to see
176	black	541	black
184	old	4201	old
24	three	6340	three
71	hair	2838	hair
150	water	6792	water
169	burn (V)	793	to burn (intransitive)
50	worm	6982	worm
82	knee	3400	knee
144	flow (V)	2421	to flow
122	come (V)	1136	to come
163	wind	6922	wind (as in breeze)
123	lie 1 (V)	3559	to lie (as on one's side)
7	this	6327	this
96	spit (V)	5794	to spit
167	fire	2336	fire
59	flower	2424	flower
9	here	7070	here
196	right	5090	right (correct)
19	some	5716	some
206	because	441	because
33	short	5476	short
115	split (V)	5804	to split
164	snow	5686	snow
80	foot	2458	foot
14	when	6859	when
39	child	980	child (a youth)
137	tie (V)	6373	to tie
113	hit (V)	3006	to hit
13	where	6860	where
153	lake	3435	lake
195	dry	1857	dry (adjective)
114	cut (V)	1465	to cut
43	father	2234	father
87	neck	4046	neck
127	fall (V)	2188	to fall (as in drop)
175	white	6880	white
65	bone	614	bone
23	two	6577	two
25	four	2508	four
100	laugh (V)	3475	to laugh
105	smell (V)	5654	to smell (sense odor)
199	right side	7055	right (side)
103	know (V)	3416	to know (a fact)
157	sand	5245	sand
48	louse	3684	louse
63	meat	3824	meat (as in flesh)
205	if	7050	if
173	green	2766	green
58	bark	372	bark (of tree)
119	swim (V)	6160	to swim
191	sharp	5428	sharp (as a knife)
38	human being	3090	man (human being)
38	person	4437	man (human being)
93	eat (V)	1915	to eat
193	smooth	5662	smooth
91	liver	3613	liver
152	river	5112	river
182	full	2561	full
61	rope	5155	rope
8	that	6292	that
22	one	4211	one
138	sew (V)	5404	to sew
161	fog	2441	fog
47	dog	1776	dog
92	drink (V)	1834	to drink
62	skin	5585	skin (of a person)
180	warm	6774	warm (as in weather)
3	he	2926	he
174	yellow	7023	yellow
125	stand (V)	5881	to stand
56	leaf	3493	leaf
183	new	4068	new
136	throw (V)	6352	to throw
117	scratch (V)	5307	to scratch (an itch)
134	pull (V)	4758	to pull
133	wipe (V)	6938	to wipe
151	rain (V)	4857	to rain
34	narrow	4028	narrow
6	they	6302	they
37	man	3747	man (adult male)
27	big	514	big
4	we	6814	we
201	at	282	at
197	near	4039	near
5	you	7032	you
68	horn	3055	horn
81	leg	3523	leg
74	eye	2161	eye
11	who	6887	who
99	breathe (V)	690	to breathe
130	squeeze (V)	5850	to squeeze
2	thou	6333	thou
185	good	2724	good
60	grass	2750	grass
32	small	5644	small
140	say (V)	5267	to say
78	tongue	6424	tongue
168	ashes	260	ashes
116	stab (V)	5854	to stab (or stick)
116	stick (V)	5929	to stab (or stick)
79	claw	1030	fingernail
155	salt	5235	salt
198	far	2216	far
142	play (V)	4545	to play
16	not	4105	not
52	forest	2483	forest
165	ice	3134	ice
35	thin	6318	thin
106	fear (V)	2252	to fear
118	dig (V)	1667	to dig
40	wife	6907	wife
154	sea	5326	sea (as in ocean)
145	freeze (V)	2528	to freeze
128	give (V)	2648	to give
12	what	6853	what
21	other	4249	other
53	stick	5928	stick (of wood)
77	tooth	6437	tooth (rather not molar)
131	rub (V)	5176	to rub
15	how	3080	how
85	belly	472	belly
203	with	6948	with (accompanying)
143	float (V)	2407	to float
55	seed	5350	seed
36	woman	6965	woman
67	egg	1930	egg
108	live (V)	3610	to live
30	thick	6303	thick
98	blow (V)	585	to blow (as wind)
104	think (V)	6321	to think
17	all	145	all
111	fight (V)	2303	to fight
178	day	1515	day (daytime)
158	dust	1881	dust
18	many	3759	many
88	back	326	back
28	long	3639	long
189	straight	5982	straight
126	turn (V)	6548	to turn (change direction)
172	red	4932	red
160	cloud	1077	cloud
