1	ashes	260	ashes
2	belly	472	belly
3	big	514	big
4	bird	527	bird
5	black	541	black
6	blood	576	blood
7	bone	614	bone
8	breast	687	breast
9	cloud	1077	cloud
10	cold	1118	cold
11	come (V)	1136	come
12	die (V)	1655	die
13	dog	1776	dog
14	drink	1833	drink
15	dry	1857	dry
16	ear 1	1894	ear
17	earth	1905	earth
18	eat (V)	1915	eat
19	egg	1930	egg
20	eye	2161	eye
21	far	2216	far
22	fat	2760	fat n.
22	grease	2231	fat n.
23	fire	2336	fire
24	fish	2345	fish
25	fly (V)	2433	fly v.
26	foot	2458	foot
27	full	2561	full
28	give (V)	2648	give
29	good	2724	good
30	green	2766	green
31	hair	2838	hair
32	hand	2855	hand
33	head	2928	head
34	hear (V)	2939	hear
35	heart	2940	heart
36	heavy	2951	heavy
37	horn	3055	horn
38	i	3133	I
39	kill (V)	3382	kill
40	knee	3400	knee
41	know (V)	3416	know
42	leaf	3493	leaf
43	liver	3613	liver
44	long	3639	long
45	louse	3684	louse
46	man	3747	man
47	many	3759	many
48	meat	3824	meat
49	moon	3938	moon
50	mountain	3963	mountain
51	mouth	3968	mouth
52	name	4019	name
53	near	4039	near
54	neck	4046	neck
55	new	4068	new
56	night	4082	night
57	nose	4103	nose
58	not	4105	not
59	one	4211	one
60	person	4437	person
61	rain	4856	rain
62	red	4932	red
63	road	5116	road
64	root	5152	root
65	round	5168	round
66	salt	5235	salt
67	sand	5245	sand
68	say(V)	10021	say
69	see (V)	5347	see
70	short	5476	short
71	sit (V)	5570	sit
72	skin	5585	skin
73	sleep	5608	sleep
74	small	5644	small
75	smoke	5658	smoke
76	snake	5667	snake
77	stand	5880	stand
78	star	5883	star
79	stone	5956	stone
80	sun	6101	sun
81	swim (V)	6160	swim
82	tail	6182	tail
83	that	6292	that
84	thin	6318	thin
85	this	6327	this
86	thou	6333	thou
87	tongue	6424	tongue
88	tooth	6437	tooth
89	tree	6487	tree
90	two	6577	two
91	walk (V)	6758	walk (go)
91	go (V)	2688	walk (go)
92	water	6792	water
93	what	6853	what
94	white	6880	white
95	who	6887	who
96	wind	6922	wind
97	woman	6965	woman
98	worm	6982	worm
99	year	7019	year
100	yellow	7023	yellow
