# The upper part of Jachontov's original list.
1	ashes	ashes	260
2	belly	belly	472
3	big	big	514
4	bird	bird	527
5	black	black	541
6	breast	breast	687
7	cloud	cloud	1077
8	cold	cold	1118
9	come	come (V)	1136
10	drink	drink	1833
11	dry	dry	1857
12	earth	earth	1905
13	eat	eat (V)	1915
14	far	far	2216
15	fat n.	fat	2760
15	fat n.	grease	2231
16	fly v.	fly (V)	2433
17	foot	foot	2458
18	good	good	2724
19	green	green	2766
20	hair	hair	2838
21	head	head	2928
22	hear	hear (V)	2939
23	heart	heart	2940
24	heavy	heavy	2951
25	kill	kill (V)	3382
26	knee	knee	3400
27	leaf	leaf	3493
28	liver	liver	3613
29	long	long	3639
30	man	man	3747
31	many	many	3759
32	meat	meat	3824
33	mountain	mountain	3963
34	mouth	mouth	3968
35	near	near	4039
36	neck	neck	4046
37	night	night	4082
38	not	not	4105
39	person	person	4437
40	rain	rain	4856
41	red	red	4932
42	road	road	5116
43	root	root	5152
44	round	round	5168
45	sand	sand	5245
46	say	say (V)	5267
47	see	see (V)	5347
48	short	short	5476
49	sit	sit (V)	5570
50	skin	skin	5585
51	sleep	sleep	5608
52	small	small	5644
53	smoke	smoke	5658
54	snake	snake	5667
55	stand	stand	5880
56	star	star	5883
57	swim	swim (V)	6160
58	that	that	6292
59	thin	thin	6318
60	walk (go)	walk (V)	6758
60	walk (go)	go (V)	2688
61	white	white	6880
62	woman	woman	6965
63	worm	worm	6982
64	year	year	7019
65	yellow	yellow	7023
