1	fire	2336	fire
2	nose	4103	nose
3	go (V)	2688	to go
4	water	6792	water
5	mouth	3968	mouth
6	tongue	6424	tongue
7	blood	576	blood
8	bone	614	bone
9	thou	6333	2SG pronoun
10	root	5152	root
11	come (V)	1136	to come
12	breast	687	breast
13	rain	4856	rain
14	i	3133	1SG pronoun
15	name	4019	name
16	louse	3684	louse
17	wing	6933	wing
18	flesh	2397	flesh/meat
18	meat	3824	flesh/meat
19	arm	231	arm/hand
19	hand	2855	arm/hand
20	fly	2432	fly
21	night	4082	night
22	ear 1	1894	ear
23	neck	4046	neck
24	far	2216	far
25	do (V)	1768	to do/make
25	make (V)	3729	to do/make
26	house	3074	house
27	stone	5956	stone/rock
27	rock	5956	stone/rock
28	bitter	540	bitter
29	say (V)	5267	to say
30	tooth	6437	tooth
31	hair	2838	hair
32	big	514	big
33	one	4211	one
34	who	6887	who?
35	he	2926	3SG pronoun
35	she	3308	3SG pronoun
35	it	2926	3SG pronoun
36	hit (V)	3006	to hit/beat
36	beat (V)	430	to hit/beat
37	leg	3523	leg/foot
37	foot	2458	leg/foot
38	horn	3055	horn
39	this	6327	this
40	fish	2345	fish
41	yesterday	7026	yesterday
42	drink (V)	1834	to drink
43	black	541	black
44	navel	4038	navel
45	stand (V)	5881	to stand
46	bite (V)	536	to bite
47	back	326	back
48	wind	6922	wind
49	smoke	5658	smoke
50	what	6853	what?
51	child	980	child (kin term)
52	egg	1930	egg
53	give (V)	2648	to give
54	new	4068	new
55	burn (V)	793	to burn (intr.)
56	not	4105	not
57	good	2724	good
58	know (V)	3416	to know
59	knee	3400	knee
60	sand	5245	sand
61	laugh (V)	3475	to laugh
62	hear (V)	2939	to hear
63	soil	5703	soil
64	leaf	3493	leaf
65	red	4932	red
66	liver	3613	liver
67	hide (V)	1189	to hide
68	skin	5585	skin/hide
68	hide	5585	skin/hide
69	suck (V)	6074	to suck
70	carry (V)	879	to carry
71	ant	199	ant
72	heavy	2951	heavy
73	take (V)	6184	to take
74	old	4201	old
75	eat (V)	1915	to eat
76	thigh	6314	thigh
77	thick	6303	thick
78	long	3639	long
79	blow (V)	585	to blow
80	wood	6970	wood
81	run (V)	5198	to run
82	fall (V)	2188	to fall
83	eye	2161	eye
84	ashes	260	ash
85	tail	6182	tail
86	dog	1776	dog
87	cry (V)	6835	to cry/weep
87	weep (V)	1417	to cry/weep
88	tie (V)	6373	to tie
89	see (V)	5347	to see
90	sweet	6151	sweet
91	rope	5155	rope
92	shade	5410	shade/shadow
92	shadow	5408	shade/shadow
93	bird	527	bird
94	salt	5235	salt
95	small	5644	small
96	wide	6900	wide
97	star	5883	star
98	in	3184	in
99	hard	2875	hard
100	crush (V)	1413	to crush/grind
100	grind (V)	2775	to crush/grind
