# Leipzig-Jakarta list of most borrowing-prone and stable concepts
1	fire	fire	2336
2	nose	nose	4103
3	to go	go (V)	2688
4	water	water	6792
5	mouth	mouth	3968
6	tongue	tongue	6424
7	blood	blood	576
8	bone	bone	614
9	2SG pronoun	thou	6333
10	root	root	5152
11	to come	come (V)	1136
12	breast	breast	687
13	rain	rain	4856
14	1SG pronoun	i	3133
15	name	name	4019
16	louse	louse	3684
17	wing	wing	6933
18	flesh/meat	flesh	2397
18	flesh/meat	meat	3824
19	arm/hand	arm	231
19	arm/hand	hand	2855
20	fly	fly	2432
21	night	night	4082
22	ear	ear 1	1894
23	neck	neck	4046
24	far	far	2216
25	to do/make	do (V)	1768
25	to do/make	make (V)	3729
26	house	house	3074
27	stone/rock	stone	5956
27	stone/rock	rock	5956
28	bitter	bitter	540
29	to say	say (V)	5267
30	tooth	tooth	6437
31	hair	hair	2838
32	big	big	514
33	one	one	4211
34	who?	who	6887
35	3SG pronoun	he	2926
35	3SG pronoun	she	3308
35	3SG pronoun	it	2926
36	to hit/beat	hit (V)	3006
36	to hit/beat	beat (V)	430
37	leg/foot	leg	3523
37	leg/foot	foot	2458
38	horn	horn	3055
39	this	this	6327
40	fish	fish	2345
41	yesterday	yesterday	7026
42	to drink	drink (V)	1834
43	black	black	541
44	navel	navel	4038
45	to stand	stand (V)	5881
46	to bite	bite (V)	536
47	back	back	326
48	wind	wind	6922
49	smoke	smoke	5658
50	what?	what	6853
51	child (kin term)	child	980
52	egg	egg	1930
53	to give	give (V)	2648
54	new	new	4068
55	to burn (intr.)	burn (V)	793
56	not	not	4105
57	good	good	2724
58	to know	know (V)	3416
59	knee	knee	3400
60	sand	sand	5245
61	to laugh	laugh (V)	3475
62	to hear	hear (V)	2939
63	soil	soil	5703
64	leaf	leaf	3493
65	red	red	4932
66	liver	liver	3613
67	to hide	hide (V)	1189
68	skin/hide	skin	5585
68	skin/hide	hide	5585
69	to suck	suck (V)	6074
70	to carry	carry (V)	879
71	ant	ant	199
72	heavy	heavy	2951
73	to take	take (V)	6184
74	old	old	4201
75	to eat	eat (V)	1915
76	thigh	thigh	6314
77	thick	thick	6303
78	long	long	3639
79	to blow	blow (V)	585
80	wood	wood	6970
81	to run	run (V)	5198
82	to fall	fall (V)	2188
83	eye	eye	2161
84	ash	ashes	260
85	tail	tail	6182
86	dog	dog	1776
87	to cry/weep	cry (V)	6835
87	to cry/weep	weep (V)	1417
88	to tie	tie (V)	6373
89	to see	see (V)	5347
90	sweet	sweet	6151
91	rope	rope	5155
92	shade/shadow	shade	5410
92	shade/shadow	shadow	5408
93	bird	bird	527
94	salt	salt	5235
95	small	small	5644
96	wide	wide	6900
97	star	star	5883
98	in	in	3184
99	hard	hard	2875
100	to crush/grind	crush (V)	1413
100	to crush/grind	grind (V)	2775
