1	you	7032	ye
2	he	2926	he
3	they	6302	they
4	how	3080	how
5	when	6859	when
6	where	6860	where
7	here	7070	here
8	there	6300	there
9	other	4249	other
10	three	6340	three
11	four	2508	four
12	five	2368	five
13	few	2292	few
14	sky	5593	sky
15	day	1515	day
16	fog	2441	fog
17	wind	6922	wind
18	flow	2420	flow
19	sea	5326	sea
20	lake	3435	lake
21	rain	4856	rain
22	wet	6849	wet
23	wash (V)	6784	wash
24	snake	5667	snake
25	worm	6982	worm
26	back	326	back
27	leg	3523	leg
28	arm	231	arm
29	wing	6933	wing
30	lip	3596	lip
31	fur	2574	fur
32	navel	4038	navel
33	gut	7063	guts
34	saliva	5233	saliva
35	milk	3873	milk
36	fruit	2553	fruit
37	flower	2424	flower
38	grass	2750	grass
39	with	6948	with
40	in	3184	in
41	at	282	at
42	if	7050	if
43	mother	3950	mother
44	father	2234	father
45	husband	3118	husband
46	wife	6907	wife
47	salt	5235	salt
48	ice	3134	ice
49	snow	5686	snow
50	freeze (V)	2528	freeze
51	child	980	child
52	dark	1498	dark
53	cut	1464	cut
54	wide	6900	wide
55	narrow	4028	narrow
56	far	2216	far
57	near	4039	near
58	thick	6303	thick
59	thin	6318	thin
60	short	5476	short
61	heavy	2951	heavy
62	dull	1870	dull
63	sharp	5428	sharp
64	dirty	1697	dirty
65	bad	334	bad
66	rotten	5165	rotten
67	smooth	5662	smooth
68	straight	5982	straight
69	correct	1301	correct
70	left	3520	left
71	right	5090	right
72	old	4201	old
73	rub (V)	5176	rub
74	pull (V)	4758	pull
75	push (V)	4790	push
76	throw (V)	6352	throw
77	hit (V)	3006	hit
78	split	5803	split
79	stab (V)	5854	pierce
79	stick (V)	5929	pierce
80	dig	1666	dig
81	tie (V)	6373	tie
82	sew (V)	5404	sew
83	fall (V)	2188	fall
84	swell (V)	6155	swell
85	think (V)	6321	think
86	sing (V)	5550	sing
87	smell	5653	smell
88	vomit (V)	6741	puke
89	suck (V)	6074	suck
90	blow	584	blow
91	fear	2251	fear
92	squeeze (V)	5850	squeeze
93	hold	3017	hold
94	down 1	1796	down
95	up	6640	up
96	ripe	5101	ripe
97	dust	1881	dust
98	alive	144	alive
99	rope	5155	rope
100	year	7019	year
