# Swadesh List proposed in Swadesh (1952)
163	they	6302	they
38	eat (V)	1915	to eat
75	how	3080	how
171	tie (V)	6373	to tie
197	worm	6982	worm
12	big	514	big
37	earth	1905	earth (soil)
30	dirty	1697	dirty
143	smooth	5662	smooth
77	husband	3118	husband
90	live (V)	3610	to live
164	thick	6303	thick
76	hunt (V)	3109	to hunt (game)
166	think (V)	6321	to think
27	day	1515	day (opposite of night rather than time measure)
138	sky	5593	sky
64	gut	7063	guts
131	seed	5350	seed
57	foot	2458	foot
128	scratch (V)	5307	to scratch (as with fingernails to relieve itch)
168	thou	6333	thou
107	not	4105	not
145	snow	5686	snow
68	head	2928	head
51	five	2368	five
95	many	3759	many
198	you	7032	ye
69	hear (V)	2939	to hear
154	stone	5956	stone
42	far	2216	far
182	we	6814	we
100	name	4019	name
149	squeeze (V)	5850	to squeeze
152	star	5883	star
177	vomit (V)	6741	to vomit
92	long	3639	long
19	breathe (V)	690	to breathe
99	mouth	3968	mouth
53	flow (V)	2421	to flow
9	because	441	because
54	flower	2424	flower
23	cold	1118	cold (of weather)
172	tongue	6424	tongue
97	mother	3950	mother
5	at	282	at
170	throw (V)	6352	to throw
41	fall (V)	2188	to fall (drop rather than topple)
127	say (V)	5267	say
86	leaf	3493	leaf
124	rub (V)	5176	to rub
72	here	7070	here
180	wash (V)	6784	to wash
179	warm	6774	warm (of weather)
144	snake	5667	snake
165	thin	6318	thin
18	bone	614	bone
35	dust	1881	dust
85	laugh (V)	3475	to laugh
73	hit (V)	3006	to hit
61	good	2724	good
62	grass	2750	grass
88	leg	3523	leg
98	mountain	3963	mountain
58	four	2508	four
122	rope	5155	rope
116	red	4932	red
133	sharp	5428	sharp (as knife)
111	human being	3090	person
111	person	4437	person
44	father	2234	father
34	dull	1870	dull (knife)
63	green	2766	green
105	night	4082	night
14	bite (V)	536	to bite
3	animal	185	animal
167	this	6327	this
125	salt	5235	salt
137	skin	5585	skin (person's)
49	fire	2336	fire
141	smell (V)	5654	to smell (perceive odor)
194	with	6948	with (accompanying)
22	cloud	1077	cloud
10	belly	472	belly
96	meat	3824	meat (flesh)
147	spit (V)	5794	to spit
43	fat	2760	fat (organic substance)
55	fly (V)	2433	to fly
24	come (V)	1136	to come
135	sing (V)	5550	to sing
150	stab (V)	5854	to stab (or stick)
150	stick (V)	5929	to stab (or stick)
52	float (V)	2407	to float
183	wet	6849	wet
140	small	5644	small
81	in	3184	in
162	there	6300	there
186	where	6860	where?
130	see (V)	5347	see
123	rotten	5165	rotten (especially log)
161	that	6292	that
120	road	5116	road (or trail)
146	some	5716	some
158	swell (V)	6155	to swell
93	louse	3684	louse
129	sea	5326	sea (ocean)
148	split (V)	5804	to split
108	old	4201	old
89	lie 1 (V)	3559	to lie
184	what	6853	what?
106	nose	4103	nose
1	all	145	all (of a number)
195	woman	6965	woman
13	bird	527	bird
15	black	541	black
196	forest	2483	woods
33	dry	1857	dry (substance)
25	count (V)	1317	to count
83	know (V)	3416	to know (facts)
39	egg	1930	egg
188	who	6887	who?
45	fear (V)	2252	to fear
109	one	4211	one
67	he	2926	he
119	river	5112	river
175	turn (V)	6548	to turn (change one's direction)
169	three	6340	three
192	wing	6933	wing
193	wipe (V)	6938	to wipe
191	wind	6922	wind
104	new	4068	new
114	push (V)	4790	to push
139	sleep (V)	5609	sleep
80	if	7050	if
94	man	3747	man (male human)
40	eye	2161	eye
189	wide	6900	wide
156	suck (V)	6074	to suck
59	freeze (V)	2528	to freeze
157	sun	6101	sun
110	other	4249	other
113	pull (V)	4758	to pull
178	walk (V)	6758	to walk
46	feather	2254	feather (larger feathers rather than down)
47	few	2292	few
79	ice	3134	ice
2	and	178	and
71	heavy	2951	heavy
70	heart	2940	heart
31	dog	1776	dog
36	ear 1	1894	ear
176	two	6577	two
121	root	5152	root
103	neck	4046	neck
151	stand (V)	5881	to stand
190	wife	6907	wife
91	liver	3613	liver
56	fog	2441	fog
84	lake	3435	lake
118	right side	7055	right (hand)
4	ashes	260	ashes
28	die (V)	1655	to die
78	i	3133	I
185	when	6859	when?
187	white	6880	white
115	rain (V)	4857	to rain
155	straight	5982	straight
74	hold (V)	3018	to hold (in hand)
32	drink (V)	1834	drink
101	narrow	4028	narrow
65	hair	2838	hair
132	sew (V)	5404	to sew
142	smoke	5658	smoke (of fire)
199	year	7019	year
117	right	5090	right (correct)
102	near	4039	near
20	burn (V)	793	to burn (intrans)
153	stick	5928	stick (of wood)
7	bad	334	bad (deleterious or unsuitable)
66	hand	2855	hand
60	give (V)	2648	to give
174	tree	6487	tree
159	swim (V)	6160	to swim
29	dig (V)	1667	to dig
181	water	6792	water
6	back	326	back (person's)
173	tooth	6437	tooth (front rather than molar)
200	yellow	7023	yellow
16	blood	576	blood
11	fruit	2553	berry (or fruit)
17	blow (V)	585	to blow (of wind)
126	sand	5245	sand
8	bark	372	bark
112	play (V)	4545	to play
134	short	5476	short
136	sit (V)	5570	sit
87	left side	3522	left (hand)
21	child	980	child (young person rather than as relationship term)
26	cut (V)	1465	to cut
50	fish	2345	fish
82	kill (V)	3382	to kill
48	fight (V)	2303	to fight
160	tail	6182	tail
