Key	Concept	Wiktionary.tsv	abvd.tsv	asjp.tsv	dolgopolsky.tsv	matisoff.tsv	starostin.tsv	swadesh100.tsv	swadesh200.tsv
17	THE WATER	»water« #150	»water« #122	»water« #32	»water« #14	»water« #92	»water« #94	»water« #94	»water« #181
390	THE EYE	»eye« #74	»eye« #45	»eye« #33	»eye« #7	»eye« #6	»eye« #25	»eye« #25	»eye« #40
1581	THE NAME	»name« #207	»name« #63	»name (noun)« #7	»name« #6	»name« #46	»name« #57	»name« #57	»name« #100
404	THE TONGUE	»tongue« #78	»tongue« #32	»tongue« #16	»tongue« #5	»tongue« #23	»tongue« #88	»tongue« #88	»tongue« #172
169	I	»I« #1	»I« #182	»I« #22	»first person marker« #1	»I« #42	»I« #42	»I« #42	»I« #78
405	THE TOOTH	»tooth (rather not molar)« #77	»tooth« #31	»tooth« #20	»tooth« #9	»tooth« #24	»tooth« #89	»tooth« #89	»tooth (front rather than molar)« #173
343	THE LOUSE	»louse« #48	»louse« #108	»louse« #38	»louse« #12	»louse« #56	»louse« #50	»louse« #50	»louse« #93
1270	TWO	»two« #23	»Two« #198	»two« #28	»two« #2	»two« #120	»two« #91	»two« #91	»two« #176
395	THE EAR	»ear« #73	»ear« #43	»ear« #29		»ear/hear« #4	»ear« #21	»ear« #21	»ear« #36
372	THE BLOOD	»blood« #64	»blood« #23	»blood« #1		»blood« #2	»blood« #9	»blood« #9	»blood« #16
254	THE FISH	»fish« #45	»fish« #111	»fish (noun)« #2		»fish« #55	»fish« #29	»fish« #29	»fish« #50
170	THOU	»thou« #2	»thou« #183		»second person marker« #3	»thou« #41	»thou« #87	»thou« #87	»thou« #168
444	THE LIVER	»liver« #91	»liver« #17	»liver« #34		»liver« #16	»liver« #48	»liver« #48	»liver« #91
418	THE HAND	»hand« #83	»hand« #1	»hand« #10		»hand/arm« #12	»hand« #37	»hand« #37	»hand« #66
1391	TO HEAR	»to hear« #102	»to hear« #44	»hear« #14		»ear/hear« #4	»hear« #39	»hear« #39	»to hear« #69
95	THE PERSON	»man (human being)« #38	»person/human being« #53	»person« #31		»person/human being« #40	»person« #64	»person« #64	»person« #111
487	TO DIE	»to die« #109	»to die, be dead« #75	»die« #17		»die« #132	»die« #17	»die« #17	»to die« #28
248	THE DOG	»dog« #47	»dog« #96	»dog« #21		»dog« #54	»dog« #18	»dog« #18	»dog« #31
1346	THE NIGHT	»night« #177	»night« #167	»night (dark time)« #15		»night« #100	»night« #60	»night« #60	»night« #105
375	THE BONE	»bone« #65	»bone« #15	»bone« #5		»bone« #3	»bone« #10	»bone« #10	»bone« #18
70	THE FIRE	»fire« #167	»fire« #143	»fire« #37		»fire« #73	»fire« #28	»fire« #28	»fire« #49
828	THE LEAF	»leaf« #56	»leaf« #114	»leaf« #30		»leaf« #77	»leaf« #46	»leaf« #46	»leaf« #86
1397	TO SEE	»to see« #101	»to see« #46	»see« #35		»see« #149	»see« #72	»see« #72	»see« #130
43	THE STONE	»stone« #156	»stone« #120	»stone« #8		»stone« #89	»stone« #81	»stone« #81	»stone« #154
1269	ONE	»one« #22	»One« #197	»one« #23		»one« #116	»one« #63	»one« #63	»one« #109
549	TO DRINK	»to drink« #92	»to drink« #40	»drink (verb)« #25		»drink« #176	»drink« #19	»drink« #19	»drink« #32
1319	NEW	»new« #183	»new« #163	»new« #11		»new« #172	»new« #59	»new« #59	»new« #104
49	THE STAR	»star« #149	»star« #130	»star« #4		»star« #87	»star« #80	»star« #80	»star« #152
398	THE NOSE	»nose« #75	»nose« #27	»nose« #19		»nose« #19	»nose« #61	»nose« #61	»nose« #106
