Key	Concept	Number	Gloss
441	THE BELLY	1	belly (exterior)
372	THE BLOOD	2	blood
375	THE BONE	3	bone
395	THE EAR	4	ear/hear
1391	TO HEAR	4	ear/hear
626	THE EGG	5	egg
390	THE EYE	6	eye
611	THE FAT	7	fat/grease
610	THE GREASE	7	fat/grease
428	THE FOOT	8	foot
449	THE GUTS	9	guts
367	THE HAIR	10	hair (head)
369	THE BODY HAIR	11	hair (body)
418	THE HAND	12	hand/arm
414	THE ARM	12	hand/arm
381	THE HEAD	13	head
442	THE HEART	14	heart
377	THE HORN	15	horn
444	THE LIVER	16	liver
401	THE MOUTH	17	mouth
408	THE NECK	18	neck
398	THE NOSE	19	nose
364	THE SKIN	20	skin/bark
844	THE BARK	20	skin/bark
466	TO SPIT	21	spit
378	THE TAIL	22	tail
404	THE TONGUE	23	tongue
405	THE TOOTH	24	tooth
433	THE WING	25	wing
970	THE NAIL	26	nail/claw
423	THE CLAW	26	nail/claw
420	THE FINGER	27	finger/toe
432	THE TOE	27	finger/toe
419	THE PALM OF THE HAND	28	palm
457	THE PENIS	29	penis
458	THE VAGINA	30	vagina or breast/milk
436	THE BREAST	30	vagina or breast/milk
617	THE MILK	30	vagina or breast/milk
384	THE BRAIN	31	brain
440	THE NAVEL	32	navel
477	TO SHIT	33	shit
476	TO PISS	34	piss
1938	TO SWEAT	35	sweat
1939	THE SNOT	36	snot
467	TO VOMIT	37	vomit
1940	THE MARROW	38	marrow
1941	THE BREATH	39	breath/life
486	THE LIFE	39	breath/life
95	THE PERSON	40	person/human being
1932	THE HUMAN BEING	40	person/human being
170	THOU	41	thou
169	I	42	I
118	THE CHILD (SON OR DAUGHTER)	43	child/son
116	THE SON	43	child/son
136	THE GRANDCHILD	44	grandchild (nephew)
154	THE SON-IN-LAW (OF A MAN)	45	son-in-law
155	THE SON-IN-LAW (OF A WOMAN)	45	son-in-law
1581	THE NAME	46	name
899	THE PEA	47	peas, beans
601	THE BEAN	47	peas, beans
518	THE POISON	48	poison [antifood]
864	THE MUSHROOM	49	mushroom/fungus
1942	THE FUNGUS	49	mushroom/fungus
621	THE DRINK	50	liquor
1943	THE PLANTAIN	51	plantain/banana
849	THE BANANA	51	plantain/banana
517	THE MEDICINE	51a	medicine/juice
1944	THE JUICE	51a	medicine/juice
821	THE RICE	51b	rice (in fields)
1945	THE COOKED RICE	51c	rice (cooked)
597	THE MEAT	52	meat/animal
197	THE ANIMAL	52	meat/animal
235	THE BIRD	53	bird
248	THE DOG	54	dog
254	THE FISH	55	fish
343	THE LOUSE	56	louse
298	THE SNAKE	57	snake
318	THE FROG	58	frog
273	THE INSECT	59	insect, bug, vermin
1946	THE BUG	59	insect, bug, vermin
1947	THE VERMIN	59	insect, bug, vermin
284	THE BEE	60	bee
244	THE DOVE	61	dove
270	THE MONKEY	62	monkey
216	THE PIG	63	pig
227	THE FOWL	64	fowl
1948	THE OTTER	65	otter
220	THE HORSE	66	horse
281	THE ANT	67	ant
267	THE BEAR	68	bear
1949	THE LEECH	68a	leech
1950	THE WATER LEECH	68b	water leech
253	THE RAT	69	rat/rodent
1951	THE RODENT	69	rat/rodent
74	THE ASH	70	ashes
62	THE CLOUD	71	cloud
3	THE SOIL	72	earth
70	THE FIRE	73	fire
829	THE FLOWER	74	flower
603	THE FRUIT	75	fruit
822	THE GRASS	76	grass
828	THE LEAF	77	leaf
48	THE MOON	78	moon
7	THE MOUNTAIN	79	mountain
64	THE RAIN	80	rain
32	THE RIVER	81	river/valley
12	THE VALLEY	81	river/valley
1105	THE ROAD	82	road
826	THE ROOT	83	root
612	THE SALT	84	salt
46	THE SKY	85	sky
72	THE SMOKE	86	smoke
49	THE STAR	87	star
1629	THE WALKING STICK	88	stick
43	THE STONE	89	stone
47	THE SUN	90	sun/day
1344	THE DAY (OPPOSED TO NIGHT)	90	sun/day
830	THE TREE	91	tree/wood
42	THE WOOD	91	tree/wood
17	THE WATER	92	water
61	THE WIND	93	wind
827	THE BRANCH	94	branch
977	THE SILVER	95	silver
860	THE BAMBOO	96	bamboo
57	THE SHADE	97	shade/shadow
58	THE SHADOW	97	shade/shadow
1952	THE JOINT	98	joint
1953	THE THORN	99	thorn (prick)
1346	THE NIGHT	100	night
979	THE IRON	101	iron
788	THE FIELD	102	field
1954	THE SWIDDEN FIELD	102a	swidden
1955	THE IRRIGATED PADDY FIELD	102b	irrigated paddy field
1713	THE ARROW	103	arrow
670	THE NEEDLE (FOR SEWING)	104	needle
730	THE HOUSE	105	house
1712	THE BOW	106	bow
1116	THE BOAT	107	boat
595	THE MORTAR (BOWL)	108	mortar
1624	THE VILLAGE	109	village
1231	LEFT	110	left side
1230	RIGHT (SIDE)	111	right side
1233	FAR	112	far
1232	NEAR	113	near
1368	THE YEAR	114	year
1282	TWENTY	115	twenty/score
1956	THE SCORE	115	twenty/score
1269	ONE	116	one
1275	SEVEN	117	seven
1278	TEN	118	ten
1924	HUNDRED	119	hundred
1270	TWO	120	two
1271	THREE	121	three
1272	FOUR	122	four
1273	FIVE	123	five
1274	SIX	124	six
1276	EIGHT	125	eight
1277	NINE	126	nine
1957	TO BE MANY	127	(be) many (v.)
482	TO BE BORN	128	be born
471	TO SLEEP	129	sleep/lie down
1207	TO LIE DOWN	129	sleep/lie down
1456	TO CRY	130	weep
1444	TO LAUGH	131	laugh
487	TO DIE	132	die
474	TO WAKE UP	133	awaken
463	TO COUGH	134	cough
1208	TO STAND	135	stand
1206	TO SIT	136	sit
1052	TO FALL	137	fall (from a height)
1079	TO CLIMB	138	climb, ascend
1958	TO ASCEND	138	climb, ascend
1959	TO DESCEND	139	descend
1064	TO FLY	140	fly
1220	TO HIDE	141	hide
1076	TO RUN	142	run/flee
1086	TO FLEE	142	run/flee
1960	TO EMERGE	143	emerge
1920	TO FEAR	144	fear/frighten
1961	TO FRIGTHEN	144	fear/frighten
1509	TO KNOW	145	know
1495	TO BE ASHAMED	146	ashamed
1524	TO FORGET	147	forget
473	TO DREAM	148	dream
1397	TO SEE	149	see
1380	TO SMELL (INTRANSITIVE)	150	smell
1382	TO SMELL (TRANSITIVE)	150	smell
1249	THIN	151	thin
1321	OLD	152	old
485	TO BE ALIVE	153	alive
499	ILL	154	ill
611	THE FAT	155	fat
1962	ITCHY	156	itchy
1293	FULL	157	full
1243	LONG	158	long/tall
1244	TALL	158	long/tall
1386	SWEET	159	sweet
1427	COLD	160	cold
1388	BITTER	161	bitter
1389	SOUR	162	sour
1408	RED	163	red
1421	HEAVY	164	heavy
1426	WARM	165	warm
1259	ROUND	166	round
546	RIPE	167	ripe/well-cooked
544	COOKED	167	ripe/well-cooked
1416	SOFT	168	soft (to touch)
1406	WHITE	169	white
1407	BLACK	170	black
1248	THICK	171	thick
1319	NEW	172	new
1419	SHARP	173	sharp
1422	LIGHT (IN WEIGHT)	174	lightweight
542	TO EAT	175	eat
549	TO DRINK	176	drink
1144	TO GIVE	177	give
927	TO TIE	178	tie
1777	TO STEAL	179	steal
469	TO LICK	180	lick
468	TO BITE	181	bite
510	TO SCRATCH	182	scratch (scrape)
557	TO COOK	183	cook/boil
558	TO BOIL	183	cook/boil
593	TO GRIND	184	grind
960	TO WASH	185	wash
797	TO DIG	186	dig
1154	TO LET GO	187	let go; set free; loosen
1963	TO SET FREE	187	let go; set free; loosen
1964	TO LOOSEN	187	let go; set free; loosen
79	TO EXTINGUISH	188	extinguish
1065	TO BLOW	189	blow
1171	TO BUY	190	buy
669	TO SEW	191	sew
490	TO KILL	192	kill
988	TO WEAVE	193	weave
951	TO RUB	194	rub
958	TO SQUEEZE	195	squeeze
1740	TO SHOOT	196	shoot
1072	TO KICK	197	kick
1172	TO SELL	198	sell
1205	TO PUT	199	put, place
1965	TO PLACE	199	put, place
1102	TO DRIVE	200	drive/hunt
1739	TO HUNT	200	drive/hunt
76	TO BURN (TRANSITIVE)	200a	burn
77	TO BURN (INTRANSITIVE)	200a	burn
936	TO CUT	200b	cut
