Key	Concept	Number	Gloss
1286	ALL	1	all (of a number)
1902	AND	2	and
197	THE ANIMAL	3	animal
74	THE ASH	4	ashes
1194	AT	5	at
379	THE BACK	6	back (person's)
1478	BAD	7	bad (deleterious or unsuitable)
844	THE BARK	8	bark
1542	BECAUSE	9	because
441	THE BELLY	10	belly
1919	THE BERRY	11	berry (or fruit)
603	THE FRUIT	11	berry (or fruit)
1241	BIG	12	big
235	THE BIRD	13	bird
468	TO BITE	14	to bite
1407	BLACK	15	black
372	THE BLOOD	16	blood
1065	TO BLOW	17	to blow (of wind)
375	THE BONE	18	bone
460	TO BREATHE	19	to breathe
77	TO BURN (INTRANSITIVE)	20	to burn (intrans)
104	THE CHILD (YOUNG HUMAN)	21	child (young person rather than as relationship term)
62	THE CLOUD	22	cloud
1427	COLD	23	cold (of weather)
1082	TO COME	24	to come
1285	TO COUNT	25	to count
936	TO CUT	26	to cut
1344	THE DAY (OPPOSED TO NIGHT)	27	day (opposite of night rather than time measure)
487	TO DIE	28	to die
797	TO DIG	29	to dig
1429	DIRTY	30	dirty
248	THE DOG	31	dog
549	TO DRINK	32	drink
1424	DRY	33	dry (substance)
1420	BLUNT	34	dull (knife)
4	THE DUST	35	dust
395	THE EAR	36	ear
3	THE SOIL	37	earth (soil)
542	TO EAT	38	to eat
626	THE EGG	39	egg
390	THE EYE	40	eye
1052	TO FALL	41	to fall (drop rather than topple)
1233	FAR	42	far
611	THE FAT	43	fat (organic substance)
111	THE FATHER	44	father
1920	TO FEAR	45	to fear
434	THE FEATHER	46	feather (larger feathers rather than down)
1289	FEW	47	few
1702	TO FIGHT	48	to fight
70	THE FIRE	49	fire
254	THE FISH	50	fish
1273	FIVE	51	five
1059	TO FLOAT	52	to float
1057	TO FLOW	53	to flow
829	THE FLOWER	54	flower
1064	TO FLY	55	to fly
63	THE FOG	56	fog
428	THE FOOT	57	foot
1272	FOUR	58	four
68	TO FREEZE	59	to freeze
1144	TO GIVE	60	to give
1477	GOOD	61	good
822	THE GRASS	62	grass
1410	GREEN	63	green
449	THE GUTS	64	guts
367	THE HAIR	65	hair
418	THE HAND	66	hand
172	HE	67	he
381	THE HEAD	68	head
1391	TO HEAR	69	to hear
442	THE HEART	70	heart
1421	HEAVY	71	heavy
1896	HERE	72	here
933	TO HIT	73	to hit
1140	TO HOLD	74	to hold (in hand)
1547	HOW?	75	how
1739	TO HUNT	76	to hunt (game)
106	THE HUSBAND	77	husband
169	I	78	I
66	THE ICE	79	ice
1543	IF	80	if
1193	IN	81	in
490	TO KILL	82	to kill
1509	TO KNOW	83	to know (facts)
23	THE LAKE	84	lake
1444	TO LAUGH	85	to laugh
828	THE LEAF	86	leaf
1231	LEFT	87	left (hand)
424	THE LEG	88	leg
1922	TO LIE (ON THE FLOOR)	89	to lie
729	TO LIVE	90	to live
444	THE LIVER	91	liver
1243	LONG	92	long
343	THE LOUSE	93	louse
96	THE MAN	94	man (male human)
1287	MANY	95	many
597	THE MEAT	96	meat (flesh)
112	THE MOTHER	97	mother
7	THE MOUNTAIN	98	mountain
401	THE MOUTH	99	mouth
1581	THE NAME	100	name
1247	NARROW	101	narrow
1232	NEAR	102	near
408	THE NECK	103	neck
1319	NEW	104	new
1346	THE NIGHT	105	night
398	THE NOSE	106	nose
1893	NOT	107	not
1321	OLD	108	old
1269	ONE	109	one
1898	OTHER	110	other
95	THE PERSON	111	person
1446	TO PLAY	112	to play
954	TO PULL	113	to pull
1104	TO PUSH	114	to push
1921	TO RAIN	115	to rain
1408	RED	116	red
1479	RIGHT (BE CORRECT)	117	right (correct)
1230	RIGHT (SIDE)	118	right (hand)
32	THE RIVER	119	river
1105	THE ROAD	120	road (or trail)
826	THE ROOT	121	root
930	THE ROPE	122	rope
548	ROTTEN	123	rotten (especially log)
951	TO RUB	124	to rub
612	THE SALT	125	salt
6	THE SAND	126	sand
1575	TO SAY	127	say
510	TO SCRATCH	128	to scratch (as with fingernails to relieve itch)
18	THE SEA	129	sea (ocean)
1397	TO SEE	130	see
807	THE SEED	131	seed
669	TO SEW	132	to sew
1419	SHARP	133	sharp (as knife)
1245	SHORT	134	short
1564	TO SING	135	to sing
1206	TO SIT	136	sit
364	THE SKIN	137	skin (person's)
46	THE SKY	138	sky
471	TO SLEEP	139	sleep
1242	SMALL	140	small
1382	TO SMELL (TRANSITIVE)	141	to smell (perceive odor)
72	THE SMOKE	142	smoke (of fire)
1418	SMOOTH	143	smooth
298	THE SNAKE	144	snake
65	THE SNOW	145	snow
1291	SOME	146	some
466	TO SPIT	147	to spit
948	TO SPLIT	148	to split
958	TO SQUEEZE	149	to squeeze
939	TO STAB	150	to stab (or stick)
1208	TO STAND	151	to stand
49	THE STAR	152	star
1629	THE WALKING STICK	153	stick (of wood)
43	THE STONE	154	stone
1253	STRAIGHT	155	straight
553	TO SUCK	156	to suck
47	THE SUN	157	sun
1918	TO SWELL	158	to swell
1060	TO SWIM	159	to swim
378	THE TAIL	160	tail
1895	THAT	161	that
1897	THERE	162	there
179	THEY	163	they
1248	THICK	164	thick
1249	THIN	165	thin
1505	TO THINK (REFLECT)	166	to think
1894	THIS	167	this
170	THOU	168	thou
1271	THREE	169	three
1054	TO THROW	170	to throw
927	TO TIE	171	to tie
404	THE TONGUE	172	tongue
