Number	Gloss
1	hand
2	left
3	right
4	leg/foot
5	to walk
6	road/path
7	to come
8	to turn
9	to swim
10	dirty
11	dust
12	skin
13	back
14	belly
15	bone
16	intestines
17	liver
18	breast
19	shoulder
20	to know, be knowledgeable
21	to think
22	to fear
23	blood
24	head
25	neck
26	hair
27	nose
28	to breathe
29	to sniff, smell
30	mouth
31	tooth
32	tongue
33	to laugh
34	to cry
35	to vomit
36	to spit
37	to eat
38	to chew
39	to cook
40	to drink
41	to bite
42	to suck
43	ear
44	to hear
45	eye
46	to see
47	to yawn
48	to sleep
49	to lie down
50	to dream
51	to sit
52	to stand
53	person/human being
54	man/male
55	woman/female
56	child
57	husband
58	wife
59	mother
60	father
61	house
62	thatch/roof
63	name
64	to say
65	rope
66	to tie up, fasten
67	to sew
68	needle
69	to hunt
70	to shoot
71	to stab, pierce
72	to hit
73	to steal
74	to kill
75	to die, be dead
76	to live, be alive
77	to scratch
78	to cut, hack
79	stick/wood
80	to split
81	sharp
82	dull, blunt
83	to work
84	to plant
85	to choose
86	to grow
87	to swell
88	to squeeze
89	to hold
90	to dig
91	to buy
92	to open, uncover
93	to pound, beat
94	to throw
95	to fall
96	dog
97	bird
98	egg
99	feather
100	wing
101	to fly
102	rat
103	meat/flesh
104	fat/grease
105	tail
106	snake
107	worm (earthworm)
108	louse
109	mosquito
110	spider
111	fish
112	rotten
113	branch
114	leaf
115	root
116	flower
117	fruit
118	grass
119	earth/soil
120	stone
121	sand
122	water
123	to flow
124	sea
125	salt
126	lake
127	woods/forest
128	sky
129	moon
130	star
131	cloud
132	fog
133	rain
134	thunder
135	lightning
136	wind
137	to blow
138	warm
139	cold
140	dry
141	wet
142	heavy
143	fire
144	to burn
145	smoke
146	ashes
147	black
148	white
149	red
150	yellow
151	green
152	small
153	big
154	short
155	long
156	thin
157	thick
158	narrow
159	wide
160	painful, sick
161	shy, ashamed
162	old
163	new
164	good
165	bad, evil
166	correct, true
167	night
168	day
169	year
170	when?
171	to hide
172	to climb
173	at
174	in, inside
175	above
176	below
177	this
178	that
179	near
180	far
181	where?
182	I
183	thou
184	he/she
185	we
186	you
187	they
188	what?
189	who?
190	other
191	all
192	and
193	if
194	how?
195	no, not
196	to count
197	One
198	Two
199	Three
200	Four
201	Five
202	Six
203	Seven
204	Eight
205	Nine
206	Ten
207	Twenty
208	Fifty
209	One Hundred
210	One Thousand
