Number	Gloss
1	ashes
2	belly
3	big
4	bird
5	black
6	breast
7	cloud
8	cold
9	come
10	drink
11	dry
12	earth
13	eat
14	far
15	fat n.
16	fly v.
17	foot
18	good
19	green
20	hair
21	head
22	hear
23	heart
24	heavy
25	kill
26	knee
27	leaf
28	liver
29	long
30	man
31	many
32	meat
33	mountain
34	mouth
35	near
36	neck
37	night
38	not
39	person
40	rain
41	red
42	road
43	root
44	round
45	sand
46	say
47	see
48	short
49	sit
50	skin
51	sleep
52	small
53	smoke
54	snake
55	stand
56	star
57	swim
58	that
59	thin
60	walk (go)
61	white
62	woman
63	worm
64	year
65	yellow
