Number	Gloss
1	belly (exterior)
2	blood
3	bone
4	ear/hear
5	egg
6	eye
7	fat/grease
8	foot
9	guts
10	hair (head)
11	hair (body)
12	hand/arm
13	head
14	heart
15	horn
16	liver
17	mouth
18	neck
19	nose
20	skin/bark
21	spit
22	tail
23	tongue
24	tooth
25	wing
26	nail/claw
27	finger/toe
28	palm
29	penis
30	vagina or breast/milk
31	brain
32	navel
33	shit
34	piss
35	sweat
36	snot
37	vomit
38	marrow
39	breath/life
40	person/human being
41	thou
42	I
43	child/son
44	grandchild (nephew)
45	son-in-law
46	name
47	peas, beans
48	poison [antifood]
49	mushroom/fungus
50	liquor
51	plantain/banana
51a	medicine/juice
51b	rice (in fields)
51c	rice (cooked)
52	meat/animal
53	bird
54	dog
55	fish
56	louse
57	snake
58	frog
59	insect, bug, vermin
60	bee
61	dove
62	monkey
63	pig
64	fowl
65	otter
66	horse
67	ant
68	bear
68a	leech
68b	water leech
69	rat/rodent
70	ashes
71	cloud
72	earth
73	fire
74	flower
75	fruit
76	grass
77	leaf
78	moon
79	mountain
80	rain
81	river/valley
82	road
83	root
84	salt
85	sky
86	smoke
87	star
88	stick
89	stone
90	sun/day
91	tree/wood
92	water
93	wind
94	branch
95	silver
96	bamboo
97	shade/shadow
98	joint
99	thorn (prick)
100	night
101	iron
102	field
102a	swidden
102b	irrigated paddy field
103	arrow
104	needle
105	house
106	bow
107	boat
108	mortar
109	village
110	left side
111	right side
112	far
113	near
114	year
115	twenty/score
116	one
117	seven
118	ten
119	hundred
120	two
121	three
122	four
123	five
124	six
125	eight
126	nine
127	(be) many (v.)
128	be born
129	sleep/lie down
130	weep
131	laugh
132	die
133	awaken
134	cough
135	stand
136	sit
137	fall (from a height)
138	climb, ascend
139	descend
140	fly
141	hide
142	run/flee
143	emerge
144	fear/frighten
145	know
146	ashamed
147	forget
148	dream
149	see
150	smell
151	thin
152	old
153	alive
154	ill
155	fat
156	itchy
157	full
158	long/tall
159	sweet
160	cold
161	bitter
162	sour
163	red
164	heavy
165	warm
166	round
167	ripe/well-cooked
168	soft (to touch)
169	white
170	black
171	thick
172	new
173	sharp
174	lightweight
175	eat
176	drink
177	give
178	tie
179	steal
180	lick
181	bite
182	scratch (scrape)
183	cook/boil
184	grind
185	wash
186	dig
187	let go; set free; loosen
188	extinguish
189	blow
190	buy
191	sew
192	kill
193	weave
194	rub
195	squeeze
196	shoot
197	kick
198	sell
199	put, place
200	drive/hunt
200a	burn
200b	cut
