Gloss	Number
1	all
2	ashes
3	bark
4	belly
5	big
6	bird
7	bite
8	black
9	blood
10	bone
11	breast
12	burn tr.
13	claw (nail)
14	cloud
15	cold
16	come
17	die
18	dog
19	drink
20	dry
21	ear
22	earth
23	eat
24	egg
25	eye
26	fat n.
27	feather
28	fire
29	fish
30	fly v.
31	foot
32	full
33	give
34	good
35	green
36	hair
37	hand
38	head
39	hear
40	heart
41	horn
42	I
43	kill
44	knee
45	know
46	leaf
47	lie
48	liver
49	long
50	louse
51	man
52	many
53	meat
54	moon
55	mountain
56	mouth
57	name
58	neck
59	new
60	night
61	nose
62	not
63	one
64	person
65	rain
66	red
67	road
68	root
69	round
70	sand
71	say
72	see
73	seed
74	sit
75	skin
76	sleep
77	small
78	smoke
79	stand
80	star
81	stone
82	sun
83	swim
84	tail
85	that
86	this
87	thou
88	tongue
89	tooth
90	tree
91	two
92	walk(go)
93	warm
94	water
95	we
96	what
97	white
98	who
99	woman
100	yellow
101	far
102	heavy
103	near
104	salt
105	short
106	snake
107	thin
108	wind
109	worm
110	year
