Number	Gloss
1	all (of a number)
2	and
3	animal
4	ashes
5	at
6	back (person's)
7	bad (deleterious or unsuitable)
8	bark
9	because
10	belly
11	berry (or fruit)
12	big
13	bird
14	to bite
15	black
16	blood
17	to blow (of wind)
18	bone
19	to breathe
20	to burn (intrans)
21	child (young person rather than as relationship term)
22	cloud
23	cold (of weather)
24	to come
25	to count
26	to cut
27	day (opposite of night rather than time measure)
28	to die
29	to dig
30	dirty
31	dog
32	drink
33	dry (substance)
34	dull (knife)
35	dust
36	ear
37	earth (soil)
38	to eat
39	egg
40	eye
41	to fall (drop rather than topple)
42	far
43	fat (organic substance)
44	father
45	to fear
46	feather (larger feathers rather than down)
47	few
48	to fight
49	fire
50	fish
51	five
52	to float
53	to flow
54	flower
55	to fly
56	fog
57	foot
58	four
59	to freeze
60	to give
61	good
62	grass
63	green
64	guts
65	hair
66	hand
67	he
68	head
69	to hear
70	heart
71	heavy
72	here
73	to hit
74	to hold (in hand)
75	how
76	to hunt (game)
77	husband
78	I
79	ice
80	if
81	in
82	to kill
83	to know (facts)
84	lake
85	to laugh
86	leaf
87	left (hand)
88	leg
89	to lie
90	to live
91	liver
92	long
93	louse
94	man (male human)
95	many
96	meat (flesh)
97	mother
98	mountain
99	mouth
100	name
101	narrow
102	near
103	neck
104	new
105	night
106	nose
107	not
108	old
109	one
110	other
111	person
112	to play
113	to pull
114	to push
115	to rain
116	red
117	right (correct)
118	right (hand)
119	river
120	road (or trail)
121	root
122	rope
123	rotten (especially log)
124	to rub
125	salt
126	sand
127	say
128	to scratch (as with fingernails to relieve itch)
129	sea (ocean)
130	see
131	seed
132	to sew
133	sharp (as knife)
134	short
135	to sing
136	sit
137	skin (person's)
138	sky
139	sleep
140	small
141	to smell (perceive odor)
142	smoke (of fire)
143	smooth
144	snake
145	snow
146	some
147	to spit
148	to split
149	to squeeze
150	to stab (or stick)
151	to stand
152	star
153	stick (of wood)
154	stone
155	straight
156	to suck
157	sun
158	to swell
159	to swim
160	tail
161	that
162	there
163	they
164	thick
165	thin
166	to think
167	this
168	thou
169	three
170	to throw
171	to tie
172	tongue
173	tooth (front rather than molar)
174	tree
175	to turn (change one's direction)
176	two
177	to vomit
178	to walk
179	warm (of weather)
180	to wash
181	water
182	we
183	wet
184	what?
185	when?
186	where?
187	white
188	who?
189	wide
190	wife
191	wind
192	wing
193	to wipe
194	with (accompanying)
195	woman
196	woods
197	worm
198	ye
199	year
200	yellow
